LOCALIDAD,N.R,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total
USAQUEN,10801,12927,43044,123246,109236,61203,78884,439341
CHAPINERO,1587,5680,10638,9899,32759,14007,48422,122992
SANTA FE,1349,2408,72690,26213,3393,992,0,107045
SAN CRISTOBAL,4490,34960,350441,67836,0,0,0,457727
USME,2412,68518,188258,0,0,0,0,259188
TUNJUELITO,2745,26,130014,71582,0,0,0,204367
BOSA,2295,3973,414275,29926,0,0,0,450469
KENNEDY,6721,14615,370717,550456,8822,0,0,951331
FONTIBON,3179,0,21787,224826,50559,0,0,300351
ENGATIVA,9060,4701,81325,643936,30237,0,0,769259
SUBA,7413,2123,256888,265184,93970,115041,12973,753592
BARRIOS UNIDOS,2196,11,0,112634,57744,3966,0,176551
TEUSAQUILLO,613,0,18,22291,95299,7905,0,126126
LOS MARTIRES,510,0,5185,85405,4441,0,0,95541
ANTONIO NARI„O,98,0,7833,90424,0,0,0,98355
PUENTE ARANDA,2422,32,709,279329,0,0,0,282492
LA CANDELARIA,980,0,18190,8280,0,0,0,27450
RAFAEL URIBE U,3650,18690,167082,195692,0,0,0,385114
CIUDAD BOLIVAR,6809,292482,301707,27674,0,0,0,628672